Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,APTV,ARE,ATVI,AVB,AVY,AWK,AXP,AZO,BA,BABA,BAC,BAX,BBT,BBY,BDX,BIDU,BIIB,BK,BLK,BLL,BRK.B,CA,CAH,CAT,CB,CDNS,CF,CHD,CHRW,CHTR,CI,CINF,CLX,CMG,CMS,COG,CPB,CRM,CTSH,CVX,D,DAL,DE,DFS,DG,DHI,DHR,DISCA,DISCK,DISH,DLR,DLTR,DOV,DRI,DVA,DVN,ED,FB,GOOG,GOOGL,HRB,INTC,KMX,KO,LNT,MA,MMM,MO,MSFT,NVDA,ORCL,SCHW,SNE,SYMC,T,TCEHY,TSLA,V
Date,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
2014-09-19,41.6538,36.63,131.76,100.96,59.06,77.33,25.35,43.59,79.93,66.94,49.99,51.69,73.5853,246.25,55.61,38.64,53.28,14.7,83.69,29.2,241.81,55.24,32.71,66.32,45.2,62.42,64.05,54.88,46.22,62.2,49.86,161.44,22.55,3.81,52.16,208.54,144.01,126.65,95.16,331.32,79.57,122.04,86.92,24.62,96.51,105.13,124.3458,51.96,54.8115,75.18,21.82,145.0,47.79,49.25,89.7,526.44,129.35,93.89,16.95,39.4079,38.62,34.61,113.7,224.93,303.2634,39.68,331.75,32.19,140.56,28.48,76.09,102.51,107.0,17.52,51.676,35.065,67.82,179.6284,95.25,48.38,90.57,664.09,29.62,32.97,43.06,58.24,45.0,124.8,68.92,38.64,83.64,65.3,63.1,21.95,60.2164,40.5,39.52,64.98,62.96,57.01,68.0346,45.8369,74.88,70.97,57.13,77.91,594.4482,605.4,32.26,34.82,53.57,42.05,28.67,77.28,146.69,44.99,47.52,19.08,39.8,30.37,17.69,24.39,35.47,16.02,259.32,54.0625
2014-09-22,41.1532,35.58,130.9,101.06,58.71,77.18,24.99,43.4,79.22,67.2,49.92,51.46,72.8922,241.48,54.88,38.35,52.97,14.55,83.05,29.27,235.62,54.93,32.45,65.72,44.79,61.405,63.26,53.935,45.21,61.84,49.2,159.59,21.94,3.76,51.45,205.36,142.18,124.76,94.31,324.5,77.64,121.82,86.5,24.275,94.52,103.54,124.0684,51.785,54.4513,74.38,21.69,145.0,47.72,48.77,88.99,505.38,128.61,89.89,17.03,39.1526,38.3,33.67,112.75,214.86,303.7423,39.34,327.61,32.22,139.26,28.21,75.87,100.9,106.62,17.45,51.156,35.3,66.74,178.2238,94.7,48.07,97.23,656.1,29.36,32.51,42.79,57.32,44.6,123.49,68.3,37.95,83.74,65.17,61.97,21.37,59.2387,39.35,38.57,63.47,62.62,56.755,66.9742,45.1921,74.76,69.98,56.87,76.8,585.7621,597.3,32.31,34.71,52.81,42.22,28.48,76.16,145.71,45.35,47.06,18.89,39.58,30.18,17.36,24.26,35.5,15.395,250.03,53.47
2014-09-23,40.7456,35.33,129.12,102.64,57.56,76.79,24.94,42.5,79.6,67.79,49.67,50.77,72.4711,244.46,54.95,38.2,52.56,14.51,82.12,28.93,240.85,54.51,32.18,64.86,44.78,60.64,63.06,52.93,44.1,61.31,48.92,158.67,21.63,3.69,50.76,202.97,140.68,123.87,93.93,323.63,76.78,119.36,86.27,24.165,95.06,103.02,123.3381,50.905,53.865,73.4,21.28,144.37,46.79,48.21,88.31,507.79,127.38,87.17,17.05,38.9624,37.84,33.36,112.63,214.79,306.0267,38.96,325.06,31.96,138.78,28.35,75.86,99.99,105.42,17.17,53.874,34.905,66.44,172.9374,92.98,47.37,94.85,654.58,29.6,31.59,42.58,56.81,44.51,123.06,68.3,37.7,83.32,64.38,61.97,21.28,58.6779,38.22,37.665,63.0,61.68,55.785,65.6745,45.0847,74.01,69.91,56.75,78.29,579.5391,591.2,31.52,34.42,47.8,41.89,28.16,75.51,144.37,44.82,46.56,18.81,38.83,29.89,17.37,24.1,35.26,15.2,250.41,53.115
2014-09-24,41.4464,36.12,130.62,101.75,59.05,78.04,25.09,42.63,80.2,69.03,50.0,51.46,73.6291,248.05,55.66,38.18,52.47,14.46,83.75,29.31,248.0,54.99,31.94,65.47,45.46,61.505,63.17,53.8,44.84,61.68,49.0,168.7,21.96,3.7,51.33,204.48,142.24,125.22,94.19,328.21,76.95,124.17,87.29,24.295,94.85,104.82,125.4367,51.07,54.0744,73.81,21.21,142.05,46.96,48.29,88.52,508.63,128.58,90.57,17.18,39.2015,37.79,33.99,113.72,221.97,318.9774,39.22,329.0,31.985,139.95,28.42,77.66,101.2,106.59,17.25,54.466,35.335,66.69,171.5992,94.82,47.76,95.54,664.71,29.58,32.1,42.97,57.66,45.195,122.4,68.11,37.66,83.77,64.87,62.28,21.2,58.9128,38.105,37.54,63.97,61.75,56.145,65.3317,46.3204,74.94,70.08,56.53,78.535,586.3804,598.4,31.52,34.75,48.48,42.27,27.965,77.05,144.88,45.7,47.08,18.92,39.42,29.95,17.35,24.15,35.4,15.33,252.14,53.6025
2014-09-25,40.6813,35.21,128.2,97.87,58.0,77.49,24.9,42.0,78.98,67.71,49.64,50.48,72.2518,243.09,54.43,37.97,52.09,14.15,82.06,29.04,244.53,54.16,31.83,64.82,44.76,59.51,60.63,52.83,43.72,61.09,48.21,165.86,21.51,3.63,50.58,200.38,139.85,122.94,93.12,321.93,75.43,120.69,86.3,24.21,93.31,102.28,122.9775,50.355,53.8148,74.0,21.01,140.94,46.18,48.24,86.76,504.62,127.14,88.92,16.85,38.7234,37.19,33.26,113.77,217.55,307.0951,38.65,321.52,31.755,137.09,27.925,76.16,99.51,105.5,17.13,54.21,35.025,65.56,170.9025,91.72,46.97,95.14,653.39,29.56,31.43,42.38,55.92,44.07,120.68,67.63,36.66,83.13,63.65,61.2,20.81,57.3288,38.09,37.6,63.47,61.76,55.54,64.3191,45.9174,73.77,68.7,56.15,77.22,573.4858,585.3,31.02,34.14,47.52,41.78,27.605,74.72,142.48,45.11,46.04,18.51,38.76,29.52,17.27,23.73,35.08,15.0125,246.95,52.6775
2014-09-26,40.4024,35.93,130.1,100.75,59.19,77.42,24.93,42.01,79.29,68.355,50.025,50.87,72.4536,248.36,54.28,37.98,52.25,14.22,82.03,29.25,244.64,54.52,31.98,65.3,45.45,59.83,60.88,53.185,44.42,61.41,48.4,167.65,21.74,3.6,52.01,201.99,141.06,124.14,93.45,323.21,75.795,120.8,87.19,24.25,94.62,103.96,124.5954,50.91,53.7143,74.34,21.25,141.03,46.41,48.26,88.37,508.38,128.69,90.46,17.03,39.2666,37.53,32.94,114.12,219.02,307.2241,38.94,335.07,31.685,138.68,27.89,75.68,100.38,105.82,17.29,55.572,35.23,66.35,173.4572,91.82,47.22,95.64,660.77,29.51,32.15,42.62,56.56,44.75,121.47,68.03,36.52,82.83,64.97,61.49,20.9,57.5334,39.0,38.19,64.92,62.36,55.74,64.9889,46.4726,73.4,69.28,56.35,78.79,575.5202,587.9,31.27,34.26,47.5,42.2,27.66,75.06,142.42,45.81,46.41,18.545,38.95,29.93,17.42,23.58,35.28,15.106,246.6,52.985
2014-09-29,40.8672,35.03,130.64,100.11,58.52,77.63,25.03,41.9,79.92,69.22,49.81,51.3,72.6466,250.96,55.04,38.24,52.18,14.21,81.34,29.235,244.39,54.17,32.0,64.63,45.07,59.74,60.03,53.12,43.85,61.29,48.0,167.95,21.75,3.55,50.98,200.82,140.07,123.58,93.55,321.82,75.72,121.31,87.51,24.025,94.68,104.25,123.0792,50.92,52.6003,74.58,20.91,140.93,45.45,48.29,87.95,507.84,128.77,88.75,17.01,39.0493,37.31,33.65,114.35,220.47,304.1108,38.61,330.65,32.095,138.33,27.64,75.63,99.83,104.84,17.335,55.724,35.36,66.45,172.0637,91.24,47.325,96.27,662.94,29.52,33.01,42.85,57.23,44.37,120.55,68.48,36.0,82.34,64.45,61.33,20.73,57.4425,37.705,37.21,65.01,62.57,56.06,64.8374,46.5621,73.48,69.58,56.53,79.0,574.7822,587.8,31.04,34.9,47.11,42.25,27.695,74.52,142.19,46.04,46.44,18.515,38.44,29.74,17.78,23.415,35.23,14.76,245.26,52.7325
2014-09-30,40.7456,35.48,130.3,100.75,57.76,77.3,24.83,41.59,81.32,69.19,49.49,51.1,72.8835,248.27,55.1,38.33,52.21,14.18,81.0,29.125,241.28,54.02,31.82,64.3,45.36,59.8,58.9,51.68,43.54,61.37,47.64,165.82,21.61,3.41,50.21,200.36,140.46,123.38,93.63,322.44,75.67,119.62,87.67,23.64,93.87,101.44,120.3519,49.93,51.3774,73.75,20.79,140.97,44.65,48.23,87.54,509.66,127.38,88.85,17.05,38.9896,37.21,33.59,113.81,218.23,304.7095,38.73,328.32,31.635,138.14,27.94,74.92,99.03,104.87,17.21,55.844,35.08,66.32,167.4077,90.69,47.05,96.04,666.59,29.66,32.69,42.73,57.53,44.77,119.32,69.09,36.15,81.99,64.39,61.11,20.52,57.5865,37.8,37.28,64.58,62.38,56.07,64.048,46.0786,73.14,68.18,56.66,79.04,575.7795,588.4,31.01,34.82,46.45,42.66,27.705,73.92,141.68,45.94,46.36,18.45,38.28,29.39,18.04,23.51,35.24,14.82,242.68,53.3425
2014-10-01,40.1879,34.39,130.52,99.18,57.23,76.69,24.29,41.18,79.72,67.54,48.25,50.4,71.42,242.64,55.66,38.48,52.38,14.2,79.82,28.78,238.48,52.96,31.9,63.03,44.82,58.24,57.79,50.07,42.74,60.81,47.77,167.2,20.96,3.35,49.33,195.4,138.82,119.65,93.45,317.46,75.17,118.15,86.65,23.37,91.05,99.26,116.9313,49.05,51.2434,74.16,20.59,141.59,43.96,48.1,85.81,508.01,124.67,86.1,16.82,38.8483,37.13,32.62,113.6,212.03,297.9762,38.22,323.24,31.055,136.62,27.13,74.58,97.61,103.82,16.95,53.85,34.835,65.19,164.0345,89.44,46.62,95.46,662.23,29.81,31.81,42.22,56.73,44.37,117.65,69.26,34.9,81.55,63.53,60.28,20.32,56.5254,36.31,36.02,63.6,62.89,55.29,63.3384,45.6219,72.78,67.07,56.94,76.55,566.7144,579.6,30.51,33.99,45.31,42.74,27.9,73.32,139.18,45.77,45.9,18.27,38.09,28.79,17.77,23.05,34.96,14.47,240.24,52.5025
