Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,APTV,ARE,ATVI,AVB,AVY,AWK,AXP,AZO,BA,BABA,BAC,BAX,BBT,BBY,BDX,BIDU,BIIB,BK,BLK,BLL,BRK.B,CA,CAH,CAT,CB,CDNS,CF,CHD,CHRW,CHTR,CI,CINF,CLX,CMG,CMS,COG,CPB,CRM,CTSH,CVX,D,DAL,DE,DFS,DG,DHI,DHR,DISCA,DISCK,DISH,DLR,DLTR,DOV,DRI,DVA,DVN,ED,FB,GOOG,GOOGL,HRB,INTC,KMX,KO,LNT,MA,MMM,MO,MSFT,NVDA,ORCL,SCHW,SNE,SYMC,T,TCEHY,TSLA,V
Date,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
2000-01-03,48.2176,83.3134,,3.9978,,3.7755,18.25,15.6639,,16.391,45.094,10.885,40.9762,,8.344,32.313,31.438,36.25,6.9453,11.1875,35.0,1160.9325,38.0,,15.907,321.25,9.0,,8.75,23.438,,7.375,31.625,15.5312,2.8148,24.5,62.9375,,29.313,89.375,2.766,,39.0,3.6147,14.773,16.344,30.3358,4.2032,,31.25,1.3699,33.9375,71.375,,45.99,30.563,40.1875,,24.219,15.9381,25.813,25.555,26.188,,28.6306,37.0,16.625,2.4885,35.3,70.0,23.6057,24.313,16.313,22.063,,4.3333,9.782,,26.146,27.692,49.1875,,29.5,1.2344,37.25,,2.0,41.813,19.0625,,21.4375,,,3.6499,8.8108,,,42.8421,,10.861,29.0188,10.335,2.2915,16.188,33.75,,,,10.454,43.5,1.125,28.125,13.4065,,47.188,5.425,58.282,2.5975,29.532,24.668,138.25,7.11,47.188,,,
2000-01-04,44.1749,81.4585,,3.6607,,3.5174,17.813,15.3003,,15.0156,42.813,10.771,40.9762,,7.938,32.313,31.813,34.813,6.8281,10.891,33.875,1101.5891,37.5,,15.188,300.0,9.0,,8.6408,22.75,,6.9375,30.0625,14.625,2.8056,22.542,58.125,,29.0,82.375,2.6875,,38.125,3.5625,14.124,16.375,29.4112,4.0588,,30.563,1.3284,33.1875,70.438,,44.166,30.438,40.125,,22.782,15.5812,25.063,25.5,25.5,,26.6926,35.938,15.875,2.4062,34.08,68.25,23.3365,24.0,16.188,22.0,,4.2292,9.454,,26.0417,27.665,47.875,,29.875,1.1979,35.875,,1.875,41.813,19.5315,,21.4065,,,3.5119,8.4913,,,41.2671,,10.8473,28.4817,10.2607,2.25,15.844,34.188,,,,10.172,41.469,1.094,27.9375,13.4065,,45.313,5.4682,55.7812,2.5208,26.922,24.333,135.0,6.782,44.25,,,
2000-01-05,42.0273,78.9081,,3.7143,,3.7906,18.0,15.1886,,15.3125,43.438,10.601,40.5822,,7.438,33.563,33.0,35.188,6.7812,10.8285,34.469,1104.0353,37.875,,15.25,279.75,9.1565,,8.6875,23.75,,7.2812,28.938,15.0,2.8335,22.0,60.125,,29.875,69.75,2.7035,,39.25,3.5522,14.53,16.625,29.5841,3.9688,,30.0,1.3334,33.5,72.75,,42.98,30.313,42.625,,23.032,16.263,25.375,24.445,25.688,,28.5541,35.125,15.75,2.4492,34.64,63.0,24.9822,24.7188,15.25,21.625,,4.2292,9.329,,25.9377,27.949,49.125,,30.688,1.2188,35.563,,2.0392,42.563,20.0625,,21.9065,,,3.5649,8.5861,,,41.1266,,10.861,28.6054,10.6332,2.0625,16.125,35.75,,,,11.125,41.813,1.0625,28.469,14.0625,,46.625,5.4393,56.907,2.4342,24.8906,24.55,125.0,6.7812,44.938,,,
2000-01-06,39.669,76.8987,,3.3929,,4.0788,18.032,15.4401,,15.438,42.25,10.657,41.1243,,6.985,33.438,33.188,35.469,6.7891,11.047,35.0,1137.8955,38.625,,15.375,230.0,9.469,,8.75,23.625,,7.75,28.985,15.25,2.8148,22.667,61.125,,29.563,63.0,2.7035,,40.625,3.5,15.909,16.9065,31.5487,3.8595,,29.438,1.3074,34.625,75.313,,43.856,29.063,43.063,,24.688,16.6036,26.563,25.278,26.75,,29.8207,36.0,16.0,2.4885,36.08,59.0,25.8496,25.813,16.063,20.938,,4.375,9.375,,27.1877,28.118,49.5625,,30.438,1.2449,36.313,,1.935,44.375,20.2815,,23.0315,,,3.3749,8.6808,,,36.9913,,11.0557,28.7297,10.5213,2.0,16.938,35.813,,,,11.016,37.7812,1.125,28.5,14.0625,,50.375,5.3382,55.0,2.285,22.25,24.55,108.0,5.875,43.75,,,
2000-01-07,43.7959,78.7535,,3.5536,,4.6091,17.938,16.0555,,16.188,43.438,10.829,42.0597,,7.813,33.938,33.625,36.157,7.2344,11.266,37.438,1223.0571,39.063,,15.8906,248.375,9.25,,9.0158,24.5,,8.25,29.235,16.25,2.8519,23.209,68.0,,31.188,69.6875,2.7035,,42.75,3.6458,15.855,17.3125,33.7444,3.8985,,30.0,1.3439,35.5,75.563,,44.495,30.438,44.313,,24.344,17.545,26.75,25.889,27.625,,33.2554,37.875,15.875,2.418,36.4,58.75,28.1833,26.657,18.125,22.313,,4.5417,9.5,,28.375,28.685,52.3125,,31.125,1.2969,37.0,,1.9585,45.157,20.2815,,23.0,,,3.4959,8.7517,,,38.4262,,11.4583,29.5148,10.3717,2.2085,17.032,36.063,,,,11.391,41.0,1.1875,30.375,14.25,,51.375,5.4828,55.719,2.3267,26.0,25.92,117.188,6.2227,44.125,,,
2000-01-10,46.4493,81.3812,,3.4911,,4.7303,20.5,15.6919,,16.813,47.219,10.829,43.0943,,7.719,33.688,33.5,37.782,7.1016,10.594,38.813,1201.4275,39.688,,15.235,280.0,9.2815,,8.8595,23.938,,8.2812,31.594,17.5,2.9446,23.792,72.125,,33.938,69.188,2.719,,30.125,3.6875,15.233,16.844,31.6643,4.0822,,30.375,1.4114,35.9375,78.0,,45.115,30.688,43.688,,23.5,16.8796,26.063,25.611,27.625,,36.23,36.188,16.0,2.4962,36.26,62.688,26.8068,25.782,18.688,23.375,,4.4792,9.922,,28.2083,27.891,51.75,,30.688,1.25,35.625,,1.9987,43.938,20.2815,,23.469,,,3.5649,8.9294,,,39.8043,,11.889,30.1352,10.4469,2.25,16.813,35.125,,,,11.297,42.875,1.219,29.4065,14.2815,,51.125,5.555,56.125,2.3892,28.7656,26.0,125.0,7.094,44.75,,,
2000-01-11,45.8173,80.9948,,3.3125,,4.8822,19.813,15.552,,15.657,45.282,10.657,42.2567,,7.516,33.625,33.625,37.969,7.1094,10.375,38.563,1181.8753,39.5,,15.141,278.625,9.25,,8.8595,24.0,,7.5,30.204,17.032,2.8613,23.709,66.438,,36.5,66.625,2.6565,,28.0,3.6458,15.287,16.7815,30.2202,4.1798,,30.438,1.4739,35.1875,77.563,,45.534,30.063,42.875,,23.0,16.8796,25.375,24.833,27.188,,33.8118,35.313,16.438,2.543,35.58,65.438,26.9863,25.375,17.813,22.25,,4.4375,9.766,,27.4793,27.665,52.25,,31.5,1.2031,36.188,,1.9752,43.532,20.344,,23.469,,,3.3409,8.7043,,,37.6943,,11.4443,30.2589,10.857,2.2295,17.063,34.438,,,,11.907,44.844,1.1565,30.4065,14.25,,50.25,5.584,54.688,2.2917,28.094,26.082,116.25,6.516,44.125,,,
2000-01-12,44.8908,80.2993,,3.1183,,4.8822,19.594,15.2445,,15.579,46.75,10.942,41.8627,,7.391,33.813,33.875,38.75,7.0859,10.2035,40.938,1217.478,39.5,,15.016,256.25,9.3125,,8.6095,24.25,,7.4062,31.0,18.125,2.8705,23.75,63.563,,38.0,63.375,2.5625,,27.875,3.5208,15.206,16.6875,30.7398,4.758,,30.0,1.4114,35.125,76.875,,45.297,29.813,43.063,,23.25,16.6845,26.0,24.195,26.313,,31.6436,36.438,17.125,2.4338,34.9,68.5625,27.4652,25.813,18.438,20.688,,4.4375,9.844,,27.521,27.891,52.1875,,31.313,1.1824,35.75,,1.8908,43.375,20.5,,23.0315,,,3.3059,8.4674,,,38.1165,,11.2363,30.5486,10.4845,2.2085,16.813,34.563,,,,11.875,45.625,1.094,30.75,14.4065,,50.375,5.6129,52.907,2.25,26.407,25.082,112.813,6.6641,41.813,,,
2000-01-13,45.5646,75.1984,,3.4643,,5.7463,21.0,15.1045,,16.407,46.907,10.885,41.6168,,7.5,33.938,33.813,39.407,7.1641,10.4375,41.75,1250.9864,38.875,,14.985,259.25,9.4375,,8.5938,24.813,,8.7188,31.125,17.75,2.8335,24.959,66.813,,37.5625,65.938,2.5,,29.9375,3.573,15.531,16.9065,30.5086,4.6955,,30.125,1.4274,35.0,76.25,,45.534,30.0,42.375,,23.782,17.074,28.125,23.555,28.125,,33.1596,37.375,16.938,2.4885,35.2,65.6875,28.0935,26.094,19.75,21.0,,4.5522,9.938,,28.0417,28.231,55.0,,31.625,1.1875,36.375,,1.9585,43.782,20.75,,23.125,,,3.3409,8.5978,,,40.0293,,11.2778,30.2179,11.1185,2.3125,17.188,34.25,,,,11.844,48.4375,1.0,30.2815,14.5315,,50.375,5.6708,53.907,2.34,26.266,27.0,115.157,6.836,40.813,,,
2000-01-14,46.07,74.812,,3.5871,,5.3824,21.375,15.4401,,16.579,50.688,11.338,41.1732,,7.532,33.438,33.813,41.625,7.0312,10.7345,44.625,1274.0234,37.563,,14.907,230.0,9.25,,8.547,24.188,,8.6562,33.907,20.188,2.8056,25.5,68.3125,,38.125,64.25,2.4845,,29.938,3.6458,15.395,17.0625,29.9308,4.793,,30.313,1.4114,35.0,76.5,,46.556,29.75,44.0,,25.188,16.5547,29.188,24.361,27.375,,35.4624,39.125,17.5,2.629,34.02,65.563,28.4224,25.969,20.563,22.25,,4.5105,10.0,,26.875,27.551,54.25,,31.188,1.2084,35.313,,1.901,43.5,20.8125,,24.0625,,,3.4959,8.5978,,,40.6199,,11.875,29.9699,11.2671,2.396,17.282,33.688,,,,11.641,51.5312,1.0,30.5315,14.344,,49.657,5.5696,56.125,2.4408,26.704,27.332,113.5,6.61,41.938,,,
2000-01-17,46.07,74.812,,3.5871,,5.3824,21.375,15.4401,,16.579,50.688,11.338,41.1732,,7.532,33.438,33.813,41.625,7.0312,10.7345,44.625,1274.0234,37.563,,14.907,230.0,9.25,,8.547,24.188,,8.6562,33.907,20.188,2.8056,25.5,68.3125,,38.125,64.25,2.4845,,29.938,3.6458,15.395,17.0625,29.9308,4.793,,30.313,1.4114,35.0,76.5,,46.556,29.75,44.0,,25.188,16.5547,29.188,24.361,27.375,,35.4624,39.125,17.5,2.629,34.02,65.563,28.4224,25.969,20.563,22.25,,4.5105,10.0,,26.875,27.551,54.25,,31.188,1.2084,35.313,,1.901,43.5,20.8125,,24.0625,,,3.4959,8.5978,,,40.6199,,11.875,29.9699,11.2671,2.396,17.282,33.688,,,,11.641,51.5312,1.0,30.5315,14.344,,49.657,5.5696,56.125,2.4408,26.704,27.332,113.5,6.61,41.938,,,
2000-01-18,48.1755,74.0391,,3.7121,,5.1549,26.0,15.1045,,16.3438,49.25,11.849,38.8092,,7.329,32.313,33.0,38.969,7.0312,10.0,42.813,1210.4915,38.188,,15.016,211.5,9.0625,,8.5312,24.063,,8.2658,33.782,19.5,2.9446,26.459,69.063,,38.438,64.125,2.4845,,28.75,3.5938,16.829,18.219,28.4867,4.922,,30.375,1.4169,34.375,74.938,,44.239,29.625,45.0,,24.0,16.3439,27.875,24.25,27.438,,35.0402,37.375,18.0,2.6485,34.0,64.0,27.0466,24.969,19.188,22.875,,4.3648,9.922,,26.3333,26.757,52.75,,30.563,1.2709,35.125,,1.6955,44.657,20.7815,,23.5625,,,3.3229,8.361,,,41.2671,,11.875,30.2589,11.1185,2.396,18.688,32.625,,,,11.532,51.063,1.0,32.5,14.25,,48.563,5.3236,57.657,2.545,28.5,26.0,115.563,6.844,41.125,,,
2000-01-19,47.586,73.4209,,3.8059,,5.1704,24.375,14.797,,15.782,50.719,12.131,42.6018,,7.547,33.125,33.438,39.188,7.0,9.4065,43.563,1186.7508,38.5,,15.0,224.75,9.094,,8.3282,23.563,,8.5312,35.594,19.6562,2.8704,26.125,72.0,,39.0,66.813,2.469,,27.313,3.6563,16.721,18.0,28.5441,4.875,,30.25,1.3959,35.5625,68.688,,43.473,30.125,47.625,,23.532,16.3118,27.5,25.222,28.375,,37.1508,37.125,18.25,2.6055,34.18,64.0,27.914,24.657,19.75,23.0,,4.3125,10.219,,25.8127,27.097,51.9375,,30.875,1.2656,33.5,,1.8308,43.969,21.125,,23.1875,,,3.2379,8.2662,,,41.52,,11.611,30.3006,10.9323,1.625,19.188,33.25,,,,11.469,50.032,1.0,32.625,14.375,,49.407,5.4104,53.5,2.5325,28.75,26.668,112.688,7.3438,40.563,,,
